,"Underdispersion ratio (cases, daily, mean over weeks)","Underdispersion ratio (deaths, daily, mean over weeks)","Underdispersion ratio (cases, weekly, mean over 7-week blocks)","Underdispersion ratio (deaths, weekly, mean over 7-week blocks)",Underdispersion ratio (max)
Lesotho,0.68,0.28,0.31,0.11,0.68
Liberia,0.82,0.29,0.30,0.06,0.82
Libya,0.48,0.10,0.31,0.01,0.48
Liechtenstein,0.94,0.84,0.59,0.14,0.94
Lithuania,1.09,0.18,0.22,0.01,1.09
Luxembourg,0.94,0.12,0.40,0.01,0.94
Madagascar,0.74,0.18,0.32,0.01,0.74
Malawi,0.93,0.25,0.21,0.04,0.93
Malaysia,0.83,0.08,0.17,0.00,0.83
Maldives,0.85,0.23,0.85,0.02,0.85
Mali,0.77,0.23,0.41,0.03,0.77
Malta,1.03,0.35,0.38,0.02,1.03
Marshall Islands,1.00,0.99,1.00,0.94,1.00
Martinique,0.59,0.12,0.51,0.02,0.59
Mauritania,0.79,0.25,0.34,0.05,0.79
Mauritius,0.82,0.29,0.59,0.12,0.82
Mayotte,0.75,0.10,0.68,0.02,0.75
Mexico,0.67,0.01,0.01,0.00,0.67
Micronesia (Federated States of),1.00,1.00,1.00,1.00,1.00
Monaco,0.92,0.52,0.65,0.16,0.92
Mongolia,1.52,0.28,0.52,0.05,1.52
Montenegro,0.90,0.29,0.43,0.01,0.90
Montserrat,1.00,0.87,0.95,0.49,1.00
Morocco,0.91,0.03,0.12,0.00,0.91
Mozambique,0.90,0.17,0.37,0.01,0.90
Myanmar,1.37,0.20,0.25,0.05,1.37
Namibia,0.64,0.16,0.35,0.04,0.64
Nauru,1.00,1.00,1.00,1.00,1.00
Nepal,0.98,0.11,0.26,0.01,0.98
Netherlands,0.46,0.07,0.04,0.00,0.46
New Caledonia,0.93,0.63,0.89,0.38,0.93
New Zealand,0.94,0.58,0.63,0.12,0.94
Nicaragua,0.53,0.11,6.13,0.88,6.13
Niger,0.82,0.29,0.44,0.05,0.82
Nigeria,0.50,0.08,0.11,0.01,0.50
Niue,1.00,1.00,1.00,1.00,1.00
North Macedonia,1.25,0.09,0.08,0.01,1.25
Northern Mariana Islands (Commonwealth of the),0.97,0.59,0.89,0.36,0.97
Norway,0.39,0.09,0.18,0.02,0.39
Oman,0.84,0.17,0.24,0.00,0.84
Other,0.98,0.96,0.99,0.61,0.99
Pakistan,0.64,0.05,0.02,0.00,0.64
Palau,1.00,0.94,1.00,0.79,1.00
Panama,1.24,0.06,0.15,0.00,1.24
Papua New Guinea,0.69,0.27,0.59,0.09,0.69
Paraguay,1.28,0.12,0.38,0.01,1.28
Peru,0.73,0.01,0.04,0.00,0.73
Philippines,0.16,0.02,0.02,0.00,0.16
